,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
125,"London, England, United Kingdom",CTO & Co-Founder at Interlay,Research Assistant at Imperial College London,Imperial College London,Computer Science,"University of California, Riverside","(51.5073219, -0.1276474)",England,,London,
126,"South San Francisco, California, United States",President & CEO at RKD Global Inc.,"Private Investor, US Stock Markets & Securities Exchange at Self-employed",Stanford University,Attended Entrepreneurial Thought Leaders Seminars,"University of California, Riverside","(37.6535403, -122.4168664)",California,San Mateo,South San Francisco,6081
127,"San Jose, California, United States","Chief Technology Officer at Dasher Technologies, A Converge Company",Sr. Account Executive at Dasher Technologies,1983–1987,Computer Science,"University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,6085
128,"Palm Desert, California, United States",Founder / CEO at Renova Energy Corporation,,UC Riverside - Palm Desert Campus - Int'l Center for Entrepreneurial MGMT,"Business Administration and Management, General","University of California, Riverside","(33.74079965, -116.36936983394352)",California,Riverside,,6065
129,"Dubai, United Arab Emirates",Head of Business Strategy at KG International FZCO,Consultant at Deloitte,"University of California, Riverside",Applied Mathematics,"University of California, Riverside","(25.2653471, 55.2924914)",دبي,,دبي,
130,"San Francisco, California, United States","Senior Director, Digital Innovation and Global Operations at Banana Republic","Director, Digital Innovation and Operations at Banana Republic","University of California, Riverside",Marketing,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
131,"New York, New York, United States",Chief Executive Officer at PrivCo,Managing Principal and Chief Investment Officer at AdLarem Fund Management,"University of California, Riverside",Business Administration,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
132,"Tampa, Florida, United States",President at Aristocrat Investigations and Process Serving,Founder at American Envoy,"University of California, Riverside",Business administration,"University of California, Riverside","(27.9477595, -82.458444)",Florida,Hillsborough,Tampa,12057
133,"Los Angeles, California, United States","VP, Marketing at Wave Sports + Entertainment","Senior Director, Rights & Partnerships, Esports at United Entertainment Group","University of California, Riverside",Marketing and Finance,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
134,"San Diego, California, United States",Chief Technology Officer at Synaccess,Sr. Member of Technical Staff at Synaccess Networks,"University of California, Riverside",Electrical Engineering,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
135,Los Angeles  ,"Director, Digital Product Management  at Aritzia",VP of Product at Fullscreen,Education (same page),Business - Marketing & Finance,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
136,"Laguna Niguel, California, United States",Chief Marketing Officer at Mint Mobile,SVP Marketing & Creative  at Ultra & Mint Mobile,2004–2005,Marketing & Entrepreneurship,"University of California, Riverside","(33.5225261, -117.7075526)",California,Orange,,6059
137, Paris  ,Fondateur & CEO at TastyCloud,Fondateur & Président at BNI 5 ETOILES ***** PARIS TROCADERO,ISTEC - Ecole Supérieure de Commerce et de Marketing,Ecole Supérieure de Commerce et de Marketing,"University of California, Riverside","(48.8588897, 2.3200410217200766)",Île-de-France,Paris,,
138,"San Francisco, California, United States",Director | Technology Corporate Banking at Silicon Valley Bank,Vice President | Technology Corporate Banking at Silicon Valley Bank,"Pepperdine University, The George L. Graziadio School of Business and Management",Finance,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
139,"Totowa, New Jersey, United States",Chief Executive Officer at North Jersey Federal Credit Union,Partner at Rocking It Now Academy,"University of California, Riverside",Business Administration,"University of California, Riverside","(40.9050988, -74.2098679)",New Jersey,Passaic,,34031
140,"Philadelphia, Pennsylvania, United States",Director of Technology & Innovation at The Norwood Company,Director of Design Technology at Pennoni Associates,University of Pennsylvania,Architecture & Landscape Architecture,"University of California, Riverside","(39.9527237, -75.1635262)",Pennsylvania,Philadelphia,Philadelphia,42101
141,"Grand Est, France",CEO & Founder at Winalist,Freelance Designer at Nicolas Manfredini - Webdesign & Creation,EBS - European Business School Paris,"International Business, Marketing, Advertizing","University of California, Riverside","(48.4845157, 6.113035)",Grand Est,,,
142,"Santa Ana, California, United States",Customer Experience  at McMaster-Carr,Research Assistant at Pepperdine Graziadio Business School,Pepperdine Graziadio Business School,Business Analytics,"University of California, Riverside","(33.7494951, -117.8732213)",California,Orange,Santa Ana,6059
143,Los Angeles  ,Chief Operating Officer at Prohealth Medical Group,Account Manager at Chameleon Communications International,"University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
144,"San Diego, California, United States",Chief Operating Officer at Save the Storks,"General Manager- San Diego, CA at Robbins Brothers, The Engagement Ring Store","University of California, Riverside",Business Management and Marketing,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
145,"Orange County, California, United States",Performance Marketing Manager at MobilityWare,Online Marketing Specialist at San Manuel Casino,"University of California, Riverside",Marketing,"University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
146,"Houston, Texas, United States",Chief Technology Officer at Aegle,Vice President at Metagreen Ventures,University of California Riverside,Mechanical Engineering,"University of California, Riverside","(29.7589382, -95.3676974)",Texas,Harris,Houston,48201
147,San Francisco Bay ,Co-Founder at Formation Fi,Founder and CEO at Fluid,"University of California, Riverside","Banking, Corporate, Finance, and Securities Law","University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
148,"San Jose, California, United States","Director, N-Tech AMERS at Netflix","Manager, Employee Technology - Americas at Netflix","University of California, Riverside",Bioinformatics and Genomics,"University of California, Riverside","(37.3361905, -121.890583)",California,Santa Clara,San Jose,6085
149,"Kolkata, West Bengal, India","Head - Procurement, India and Member, Management Team at WACKER",Procurement Deputy Manager at WACKER,XLRI Jamshedpur,Business Management,"University of California, Riverside","(22.5414185, 88.35769124388872)",West Bengal,,Kolkata,
150,"Boston, Massachusetts, United States","Manager, Global Marketing & Digital Strategy at Reebok","Specialist, Brand Activation & Digital Strategy at Reebok",Dublin Business School,"Business Administration and Management, General","University of California, Riverside","(42.3602534, -71.0582912)",Massachusetts,Suffolk,Boston,25025
151,"Atlanta, Georgia, United States","Sr. Director, Cloud / Transformation Product Marketing and Enterprise Customer Communications Leader at Equifax",Commercial Business - Product Marketing Leader at Equifax,Yale University - Yale School of Management,Focus in Marketing and Strategy,"University of California, Riverside","(33.7489924, -84.3902644)",Georgia,Fulton,Atlanta,13121
152,"Houston, Texas, United States",Director of Global Operations & Strategy at Ultragenyx Pharmaceutical Inc.,"Director of Management Systems for Environment, Health, Safety & Sustainability at Ultragenyx Pharmaceutical Inc.",Harvard University,"Management, Concentration in Finance","University of California, Riverside","(29.7589382, -95.3676974)",Texas,Harris,Houston,48201
153,"Marietta, Georgia, United States",Executive Vice President Of Operations at Nationwide Marketing Group,SVP Digital & Technology at Nationwide Marketing Group,1988–1992,Business,"University of California, Riverside","(33.9528472, -84.5496148)",Georgia,Cobb,Marietta,13067
154,"Minneapolis, Minnesota, United States",Chief Financial Officer at Vmo Aircraft Leasing,Chief Financial Officer of Aviation at Castlelake,2001–2005,Business Administration,"University of California, Riverside","(44.9772995, -93.2654692)",Minnesota,Hennepin,Minneapolis,27053
155,"Cupertino, California, United States",Director Of Information Technology at Sonoma Biotherapeutics,Director Of Information Technology at Catalyst Biosciences,De Anza Community College,Computer Science,"University of California, Riverside","(37.3228934, -122.0322895)",California,Santa Clara,Cupertino,6085
