,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
92,"Kennesaw, Georgia, United States",Co-Founder at KatalystDI,Director- Infrastructure Delivery- Americas at Google,1994–1998,Industrial Engineering; Operations Research,Pennsylvania State,KatalystDI,Google,,"541512 Systems integration design services, computer",,54,,,"Professional, Scientific, and Technical Services",34.023434,-84.61549,Georgia,Cobb,,13067
93,"Buffalo Grove, Illinois, United States",Director of IT at CVS Health,Sr Manager - IT Innovation at CVS Health,Penn State University,Enterprise Architecture,Pennsylvania State,CVS Health,CVS Health,621999 Stop smoking clinics,,62,,Health Care and Social Assistance,76373.049,,42.151415,-87.959794,Illinois,Cook,,17031
94, Chicago ,Chief Executive Officer at Jettison,,Penn State University,Marketing,Pennsylvania State,Jettison,,523910 Viatical settlement companies,,52,,Finance and Insurance,80163.492,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
96,"New York, New York, United States",Chief Technology Officer at BARK,Chief Technology Officer at Crate and Barrel,"University of California, Berkeley - Walter A. Haas School of Business",,Pennsylvania State,BARK,Crate and Barrel,999990,,99,,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",69671.738,,40.712728,-74.006015,New York,,New York,36061
97,"New York, New York, United States",Founder at Lessly.io,Special Topic  Instructor | Electrical Engineering and Computer Science at Penn State University,Penn State University,Qualimetric Data Engineering,Pennsylvania State,Lessly.io,Penn State University,,,,,,,,40.712728,-74.006015,New York,,New York,36061
98,"Utica, Michigan, United States",Vice President - Procurement at Flex-n-Gate,Director - Powertrain Procurement at Chrysler,1984–1986,Finance,Pennsylvania State,Flex-n-Gate,Chrysler,"336390 Wipers, windshield, automotive, truck, and bus, manufacturing",,31-33,,Manufacturing,69174.562,,42.626145,-83.033538,Michigan,Macomb,,26099
99,"Wilmington, Delaware, United States","Chief Operating Officer at Richards, Layton & Finger","Executive Vice President - Practice Management, Pricing, Operations at Miles & Stockbridge P.C.",Harvard Law School,,Pennsylvania State,"Richards, Layton & Finger",Miles & Stockbridge P.C.,541110 Tax law attorneys' private practices,,54,,"Professional, Scientific, and Technical Services",77645.346,,39.745947,-75.546589,Delaware,New Castle,Wilmington,10003
100,"Philipsburg, Pennsylvania, United States","President and CEO at Advanced Powder Products, Inc.","Director, CISP at Penn State University",Penn State University,Material Science and Engineering,Pennsylvania State,"Advanced Powder Products, Inc.",Penn State University,"331221 Wire, flat, rolled strip, made in cold rolling mills",,31-33,,Manufacturing,69174.562,,40.896446,-78.220569,Pennsylvania,Centre,,42027
101,"Novi, Michigan, United States","Vice President of Operations at Berry Global, Inc.",Vice President of Manufacturing at RPC Group Plc,Penn State University,Petroleum & Natural Gas Engineering,Pennsylvania State,"Berry Global, Inc.",RPC Group Plc,"326130 Sheet, laminated plastics (except flexible packaging), manufacturing",,31-33,,Manufacturing,69174.562,,42.48059,-83.475491,Michigan,Oakland,,26125
102,"Charlotte, North Carolina, United States",Managing Director at BDO,Principal at Dixon Hughes Goodman LLP,1994–1996,Economics,Pennsylvania State,BDO,Dixon Hughes Goodman LLP,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,35.227209,-80.843083,North Carolina,Mecklenburg,Charlotte,37119
103,"Ashburn, Virginia, United States",Chief Technology Officer at Raventek Business Group,Enterprise Solutions Architect at RavenTek Business Group,Penn State University,,Pennsylvania State,Raventek Business Group,RavenTek Business Group,,,,,,,,39.030019,-77.469646,Virginia,Loudoun,,51107
104,"Pittsburgh, Pennsylvania, United States",CEO and co-Founder at EARN Staffing Solutions,Diversity Consultant at Highmark Inc.,Carnegie Mellon University - Tepper School of Business,The Advanced Leadership Initiative,Pennsylvania State,EARN Staffing Solutions,Highmark Inc.,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
105,"Downingtown, Pennsylvania, United States",President and CEO at Ascension,Chief Operating Officer at Ascension,Penn State University,Computer Science,Pennsylvania State,Ascension,Ascension,446110 Pharmacies,,44-45,,Retail Trade,56013.266,,40.008725,-75.699022,Pennsylvania,Chester,,42029
106, Philadelphia,CEO at Journey Sales,CEO at Vivido Labs,Penn State University,,Pennsylvania State,Journey Sales,Vivido Labs,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
107,"San Antonio, Texas, United States","Vice President, Strategic Procurement at HNI Corporation","Senior Director, Supply Chain Management at Marathon Petroleum Corporation",+ 1 more,"Finance, Marketing",Pennsylvania State,HNI Corporation,Marathon Petroleum Corporation,"332510 Suitcase hardware, metal, manufacturing",,31-33,,Manufacturing,69174.562,,29.4246,-98.49514,Texas,Bexar,San Antonio,48029
109,"Columbus, Ohio, United States",Director Of Operations Development at DHL Supply Chain,Director of Ecommerce Engineering at DHL Supply Chain,2005–2007,Business Management,Pennsylvania State,DHL Supply Chain,DHL Supply Chain,"488999 Vanpools, arrangement of",,48-49,,Transportation and Warehousing,65503.789,,39.96226,-83.000706,Ohio,Franklin,Columbus,39049
110,"Chapel Hill, North Carolina, United States","Chief Product Officer, Shift5 at Shift5","Senior Director, Product Management and Technology Alliances at Armis Security",Pennsylvania State University,Computer Science,Pennsylvania State,Shift5,Armis Security,,,,,,,,35.913154,-79.05578,North Carolina,Orange,,37135
111,New York City  ,"Director, Digital Transformation & Management  at Grant Thornton LLP",Consulting Director – Digital Transformation at RMS,+ 2 more,,Pennsylvania State,Grant Thornton LLP,RMS,541611 Strategic planning consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,40.712728,-74.006015,New York,,New York,36061
112, Houston,Chief Operating Officer & Co-Founder at iDeal technology LLC,Software Engineer at Dow,Penn State University,Engineering,Pennsylvania State,iDeal technology LLC,Dow,,,,,,,,29.758938,-95.367697,Texas,Harris,Houston,48201
113, Philadelphia,"President at Aim High Properties, LLC",Military Intelligence Officer at Air National Guard,Penn State University,"Business Administration, Management and Operations",Pennsylvania State,"Aim High Properties, LLC",Air National Guard,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
114,"Malvern, Pennsylvania, United States",Senior Director of Marketing at DENTALEZ,Senior Product Manager at Dentsply Sirona,2005–2008,Concentration: Finance & Strategy,Pennsylvania State,DENTALEZ,Dentsply Sirona,339112 Veterinarians' instruments and apparatus manufacturing,,31-33,,Manufacturing,69174.562,,40.036202,-75.513896,Pennsylvania,Chester,,42029
116,"San Diego, California, United States","VP Technology, Senior Aerospace at Senior plc","Director Of Technology, Structures Division at Senior Aerospace",Pennsylvania State University,Business,Pennsylvania State,Senior plc,Senior Aerospace,541330 Traffic engineering consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,32.71742,-117.162773,California,San Diego,San Diego,06073
117,"Charleston, South Carolina, United States",President & Co-Founder at vipHomeLink,"Chief Financial Officer at Parakou Tankers, Inc.",New York University,Finance and International Business,Pennsylvania State,vipHomeLink,"Parakou Tankers, Inc.",,999990,,99,,,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",32.787601,-79.940273,South Carolina,Charleston,Charleston,45019
118, Philadelphia,Vice President Of Business Development at Syneos Health,"Vice President Sales, Marketing and Client Success at MedVantx",+ 1 more,Education,Pennsylvania State,Syneos Health,MedVantx,541715,,54,,"Professional, Scientific, and Technical Services",77645.346,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
119, Harrisburg ,Chief Product Officer at Jvion,Chief Health Information Officer at University of Mississippi Medical Center,2007–2011,Information Systems,Pennsylvania State,Jvion,University of Mississippi Medical Center,"541511 Web (i.e., Internet) page design services, custom",,54,,"Professional, Scientific, and Technical Services",77645.346,,40.266311,-76.886112,Pennsylvania,Dauphin,Harrisburg,42043
120,"Medford, Massachusetts, United States","Machine Learning & AI Technical Lead:  Combine AI, Software Engineering, Statistics &  Visualization at Pfizer",Technical Staff:  Text Mining & Image Pattern Recognition at MIT Lincoln Laboratory,Purdue University,Artificial Intelligence & statistical image processing,Pennsylvania State,Pfizer,MIT Lincoln Laboratory,"325411 Vitamins, uncompounded, manufacturing",,31-33,,Manufacturing,69174.562,,42.41843,-71.106164,Massachusetts,Middlesex,,25017
121,Miami-Fort Lauderdale ,Vice President Ecommerce at The Legacy Companies,Director Of Ecommerce at The Legacy Companies,1996–1997,Industrial and Product Design,Pennsylvania State,The Legacy Companies,The Legacy Companies,522110 State commercial banks,,52,,Finance and Insurance,80163.492,,26.09474,-80.135182,Florida,Broward,Fort Lauderdale,12011
123,"Hershey, Pennsylvania, United States",Sr. Vice President - Innovation & Renovaton at KIND,Vice President - Research & Development at The Hershey Company,Penn State University,Food Science,Pennsylvania State,KIND,The Hershey Company,999990,,99,,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OEWS Designation)",69671.738,,40.285028,-76.653466,Pennsylvania,Dauphin,,42043
125,"Dallas, Texas, United States","Vice President Of Global Operations at Rochester Gauges, LLC",Director of Operations Excellence at Lennox International,University of Michigan,Mechanical Engineering,Pennsylvania State,"Rochester Gauges, LLC",Lennox International,334513 Water quality monitoring and control systems manufacturing,"333415 Water (i.e., drinking) coolers, mechanical, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,32.776272,-96.796856,Texas,Dallas,Dallas,48113
126,Atlanta  ,"Director, Business Development at Inovalon","Provider Accounts Sales Executive at Payspan, Inc.",1982–1988,"Hotel, Restaurant and Institutional Management",Pennsylvania State,Inovalon,"Payspan, Inc.","511210 Utility software, computer, packaged",,51,,Information,73855.595,,33.748992,-84.390264,Georgia,Fulton,Atlanta,13121
127,"Houston, Texas, United States",VP of Operations and Product Development at Kern Solar Structures,Director of Strategic Projects at Kern Steel Fabrication Inc.,"Jones Graduate School of Business, Rice University",,Pennsylvania State,Kern Solar Structures,Kern Steel Fabrication Inc.,334413 Wafers (semiconductor devices) manufacturing,"332439 Vats, light gauge metal, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,29.758938,-95.367697,Texas,Harris,Houston,48201
128,"Clearwater, Florida, United States","President at RC Associates, LLC",,Pennsylvania State University,,Pennsylvania State,"RC Associates, LLC",,523120 Stock options brokerages,,52,,Finance and Insurance,80163.492,,27.965853,-82.800103,Florida,Pinellas,Clearwater,12103
129,"Philadelphia, Pennsylvania, United States",Founder and Managing Principal at Green Skyline Solar,"Founder and Managing Principal at The Jacob Hill Group, LLC",1994–1999,Business,Pennsylvania State,Green Skyline Solar,"The Jacob Hill Group, LLC",,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
130, Philadelphia,"Senior Director Of Operations at Trescal, Inc.","Director of Marketing, Customer Service & Business Development at Trescal, Inc.",Penn State University,Marketing,Pennsylvania State,"Trescal, Inc.","Trescal, Inc.","541511 Web (i.e., Internet) page design services, custom",,54,,"Professional, Scientific, and Technical Services",77645.346,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
131,"Philadelphia, Pennsylvania, United States",Managing Director at AETHOS Consulting Group,Senior Vice President at HVS Executive Search,Penn State University,,Pennsylvania State,AETHOS Consulting Group,HVS Executive Search,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
132, Pittsburgh ,President at Retail without Boundaries,Executive Management at IDL Worldwide,1986–1990,,Pennsylvania State,Retail without Boundaries,IDL Worldwide,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
133,"Dallas, Texas, United States",CEO at For The Tenant Inc.,Director Of Real Estate at United Properties Southwest,Penn State University,BA Political Science,Pennsylvania State,For The Tenant Inc.,United Properties Southwest,"236220 Warehouse, industrial, construction",,23,,Construction,64648.972,,32.776272,-96.796856,Texas,Dallas,Dallas,48113
134,"Alpharetta, Georgia, United States",Principal - Client Engineering at IBM,Leader of Enterprise Architecture at General Motors,Penn State University,Computer Science and Engineering,Pennsylvania State,IBM,General Motors,518210 Web hosting,,51,,Information,73855.595,,34.070958,-84.274733,Georgia,Fulton,,13121
135,"Miami, Florida, United States",Vice President of REEF Performance Management at REEF,Director of REEF Performance Management at REEF,Penn State University,Development Economics and Geography,Pennsylvania State,REEF,REEF,517312,,51,,Information,73855.595,,25.774173,-80.19362,Florida,Miami-Dade,Miami,12086
