current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
"West Covina, California, United States","Senior Director, UCLA Business and Finance Solutions  at University of California, Los Angeles",Global Senior Director Operations  - Card Services (Wisely Pay Card) at ADP,"University of California, Riverside",Transformational Leadership Executive Program,"University of California, Riverside",
"Redmond, Washington, United States","Director, Demand Generation at SafeBreach","Senior Manager, Demand Generation  at F5","University of California, Riverside","Business Administration and Management, Marketing","University of California, Riverside",
500+ connections,Founder and CEO at Mylk Labs,"Product Consultant at Pacico, Inc.",University of Southern California,"Business Administration and Management, General","University of California, Riverside",
Dallas-Fort Worth Metroplex,"VP, Enterprise Applications at Harte Hanks","Senior Director IS&T - Financial Systems, ERP & CRM at Advantage Solutions: Sales, Marketing, Technology","University of California, Riverside",Management Information Systems,"University of California, Riverside",
"San Diego, California, United States",Vice President Molecular Strategy at NeoGenomics Laboratories,"Vice President Laboratory Operations at Biocept, Inc.",Keck School of Medicine of the University of Southern California,Pathology,"University of California, Riverside",
"Bend, Oregon, United States","Sr Director, Partner Cloud Innovation & Strategy at Splunk",Sr. Program Manager – Foundational AWS Partner Network at Amazon Web Services (AWS),"University of California, Riverside",Business Administration,"University of California, Riverside",
United States,Research And Development Engineer at Endologix LLC,Quality Engineer 1 at Abbott,University of California San Diego,Bioengineering and Biomedical Engineering,"University of California, Riverside",
"Los Angeles, California, United States","Senior Manager, Early Oncology Pipeline Competitive Intelligence & Strategy (Global & US) at Amgen","Manager, Early Oncology Pipeline Competitive Intelligence & Strategy (Global & US) at Amgen",University of Southern California,Global Medicine,"University of California, Riverside",
"Los Angeles, California, United States","Senior Manager, Early Oncology Pipeline Competitive Intelligence & Strategy (Global & US) at Amgen","Manager, Early Oncology Pipeline Competitive Intelligence & Strategy (Global & US) at Amgen",University of Southern California,,"University of California, Riverside",
Los Angeles Metropolitan Area,Chief Information Officer at Paramount Residential Mortgage Group Inc. (PRMG Inc.),Chief Technology Officer at Paramount Residential Mortgage Group Inc. (PRMG Inc.),Carnegie Mellon University - H. John Heinz III College,"Management Information Systems, General","University of California, Riverside",
Denver Metropolitan Area,Owner/ Creator at Lifestyle Marketing Solutions,Freelance Marketing Consultant at Various small and medium business,"California State University, Long Beach",Broadcast Journalism,"University of California, Riverside",
"New York, New York, United States",Director of Cell Therapy Process Development at BioCentriq,Head of Cell Therapy Development at BioCentriq,UC Riverside,Chemical Engineering,"University of California, Riverside",
500+ connections,Founder and Principal Communications Consultant at Saga Consulting,Lecturer at NYU School of Professional Studies,"University of California, Riverside - A. Gary Anderson Graduate School of Management","Marketing, MIS, Entrepreneurial Management","University of California, Riverside",
"Riverside, California, United States",Marketing Communications Specialist at CementPro,Marketing Coordinator at CementPro,"University of California, Riverside",Business Economics,"University of California, Riverside",
"Los Angeles, California, United States",Vice President - HBO Max Originals Marketing at WarnerMedia,"Director, Global Creative Marketing at Netflix","University of California, Los Angeles",Political Science,"University of California, Riverside",
500+ connections,Associate at Robert Walters,Senior Consultant at Motionworks Careers,"University of California, Riverside","Political Science, Minor: French/Comparative Literature","University of California, Riverside",
"New York, New York, United States",Head of Business Development and Carbon Markets at AirCapture,Head of Carbon Markets at AirCapture,New York University School of Law,"Finance, General","University of California, Riverside",
San Francisco Bay Area,"Vice President, Head of Enterprise Risk Management & Internal Audit at Upstart","Senior Director, Head of Enterprise Risk Management at Green Dot Corporation","University of California, Riverside",Business Administration and Management,"University of California, Riverside",
"Fremont, California, United States",Chief Financial & Strategy Officer at Druva,"VP, Finance at RingCentral","University of California, Riverside",Business Admin,"University of California, Riverside",
"Los Angeles, California, United States",Chief Financial Officer at The Midnight Mission,Controller at Men's Health Foundation,UC Riverside,Accounting,"University of California, Riverside",
"Pompano Beach, Florida, United States",Marketing Consultant at Self-employed,Chief Marketing Officer at Vision Group,2000–2002,Business Administration,"University of California, Riverside",
"Riyadh, Saudi Arabia",Information Technology Supervisor at The Helicopter Company - شركة الطائرات المروحية,IT Manager at SmartMed Private Medical Services (Official Page),University of New Haven,Computer science,"University of California, Riverside",
Los Angeles Metropolitan Area,"Vice President, Clinical Strategy & Operations at Easterseals Southern California",Regional Vice President Autism Administration and Network Provider Services at Easterseals Southern California,Capella University,Industrial and Organizational Psychology,"University of California, Riverside",
Greater Paris Metropolitan Region,"Directeur Général Adjoint en charge du Publishing, du Marketing et de la Communication at Webedia","Directeur Général Adjoint en charge du Marketing, des Etudes et de la Communication at Webedia",Télécom SudParis,"Information Technology, Computer & Communication Networks, Media Broadcasting, Marketing","University of California, Riverside",
500+ connections,Head Of Technical Operations at Novome Biotechnologies,"Vice President of Research and Development at Capricor Therapeutics, Inc.",Harvard Medical School,Department of Systems Biology,"University of California, Riverside",
