current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
Los Angeles  ,"Chief Strategy Officer (CSO) at Community Health Systems, Inc. (FQHC)","Chief Operating Officer at Community Health Systems, Inc. (FQHC)",Claremont Graduate University,Health Services Leadership and Administration,"University of California, Riverside","Community Health Systems, Inc. (FQHC)","Community Health Systems, Inc. (FQHC)",,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"San Diego, California, United States","Co Founder & Product Owner at Cordial, Inc.",Founder at Bandfarm Inc.,1988–1992,English,"University of California, Riverside","Cordial, Inc.",Bandfarm Inc.,541690 Security consulting services,,54,,"Professional, Scientific, and Technical Services",77645.346,,32.71742,-117.162773,California,San Diego,San Diego,06073
"San Diego, California, United States",Director of Operations at Bird Rock Systems,Operations Manager at Bird Rock Systems,"University of California, Riverside",Economics,"University of California, Riverside",Bird Rock Systems,Bird Rock Systems,443142 Video tape stores,443142 Video tape stores,44-45,44-45,Retail Trade,56013.266,Retail Trade,32.71742,-117.162773,California,San Diego,San Diego,06073
Los Angeles  ,"Senior Director of Strategic Sourcing at Electric Power Systems, Inc.","Commodity Procurement Lead, Electronics at Meggitt","University of California, Riverside",Business Administration,"University of California, Riverside","Electric Power Systems, Inc.",Meggitt,541330 Traffic engineering consulting services,334519 Wind direction indicators manufacturing,54,31-33,"Professional, Scientific, and Technical Services",77645.346,Manufacturing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,Director of Product Design at BlackLine,UX/Design Strategist at Freelance,Art Center College of Design,Media Design,"University of California, Riverside",BlackLine,Freelance,"511210 Utility software, computer, packaged",512110 Video production and distribution,51,51,Information,73855.595,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Hanford, California, United States",President and CEO at Heritage Realtors and Property Management,,"University of California, Berkeley",Political Science,"University of California, Riverside",Heritage Realtors and Property Management,,,,,,,,,36.32745,-119.645684,California,Kings,Hanford,06031
"Boston, Massachusetts, United States",Chief Digital Officer at The Hoffman Agency at The Hoffman Agency,SVP | GM Boston | Digital Practice Lead  at LEWIS Global Communications,Azusa Pacific University,Organizational Management,"University of California, Riverside",The Hoffman Agency,LEWIS Global Communications,541820 Public relations services,541820 Public relations services,54,54,"Professional, Scientific, and Technical Services",77645.346,"Professional, Scientific, and Technical Services",42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
"Orange County, California, United States","Sales Development Manager at Veritone, Inc.","Sales Development Representative at Veritone, Inc.","University of California, Riverside",Business Administration,"University of California, Riverside","Veritone, Inc.","Veritone, Inc.",518210 Web hosting,518210 Web hosting,51,51,Information,73855.595,Information,33.750038,-117.870493,California,Orange,,06059
"Los Angeles, California, United States",Founder & Chief Executive Officer at Innovative Partnerships Group,President at Premier Ventures,1999–2002,Business,"University of California, Riverside",Innovative Partnerships Group,Premier Ventures,,561110 Office management services,,56,,,Administrative and Support and Waste Management and Remediation Services,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Los Angeles County, California, United States",Owner at Amalfi Estates,Owner at Amalfi Mortgage,Harvard Business School,Advanced Negotiations Class,"University of California, Riverside",Amalfi Estates,Amalfi Mortgage,,,,,,,,34.315507,-118.209681,California,Los Angeles,,06037
"Tustin, California, United States",Director Of Information Technology at San Bernardino City Unified School District,Assistant Director of Research & Evaluation at Lynwood Unified School District,"University of California, Riverside",Computer Science,"University of California, Riverside",San Bernardino City Unified School District,Lynwood Unified School District,"611110 Seminaries, below university grade","611110 Seminaries, below university grade",61,61,Educational Services,67390.465,Educational Services,33.745851,-117.826166,California,Orange,,06059
,Procurement Specialist - Facilities and Construction at Faraday Future,"Senior Government Contracts Buyer at Woodward, Inc.","University of California, Irvine - The Paul Merage School of Business",Bachelor of Science in Business Administration - Operations and Supply Chain Management,"University of California, Riverside",Faraday Future,"Woodward, Inc.",336111 Hearses assembling on chassis of own manufacture,333618 Semidiesel engines manufacturing,31-33,31-33,Manufacturing,69174.562,Manufacturing,,,,,,nan
"Yorba Linda, California, United States",Founder & President at Red Mallard,Writer/AE/Web at Hobbs/Herder Advertising,"University of California, Riverside",Creative Writing,"University of California, Riverside",Red Mallard,Hobbs/Herder Advertising,,,,,,,,33.89011,-117.82497,California,Orange,,06059
"Orange County, California, United States",Senior Operations Director at Berkadia,Senior Commercial Real Estate Associate at Reliance Valuation Group,"University of California, Riverside",Economics,"University of California, Riverside",Berkadia,Reliance Valuation Group,,,,,,,,33.750038,-117.870493,California,Orange,,06059
Los Angeles  ,"Sr. Manager, Marketing Technology and Digital Operations at City of Hope","Manager, Digital Operations at City of Hope",University of Southern California,Masters of Communication Management,"University of California, Riverside",City of Hope,City of Hope,622110 Osteopathic hospitals,622110 Osteopathic hospitals,62,62,Health Care and Social Assistance,76373.049,Health Care and Social Assistance,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Los Angeles, California, United States",President at MRC Creations,,2003–2008,Business Economics,"University of California, Riverside",MRC Creations,,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Huntington Beach, California, United States",Managing Partner at Culminate Care,Chief Financial Officer at 360 Clinic,California State University-Fullerton,Accounting,"University of California, Riverside",Culminate Care,360 Clinic,,,,,,,,33.678334,-118.000017,California,Orange,Huntington Beach,06059
,Mortgage Recruiter and Licensing Expert | Loan Originator at Secure One Capital Corp. NMLS 239738,Licensing Manager│Employee Training│Results-Driven│Start-Up Operations│New Business Development at Network Capital Funding Corporation,"University of California, Riverside",Major Law and Society│Minor in History with a Focus on Arts & Humanities,"University of California, Riverside",Secure One Capital Corp. NMLS 239738,Network Capital Funding Corporation,,522292 Reverse mortgage lending,,52,,,Finance and Insurance,,,,,,nan
Los Angeles  ,Product  at Luxury Presence,Co-founder & CEO at WorkClout (YC W19),Y Combinator,"Business Administration, Information Systems; Minor in Statistics","University of California, Riverside",Luxury Presence,WorkClout (YC W19),,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Seattle, Washington, United States",Senior Vice President - Sales & Service  at Seattle Kraken,Revenue  at NHL Seattle,"Pepperdine University, The George L. Graziadio School of Business and Management",Business,"University of California, Riverside",Seattle Kraken,NHL Seattle,,,,,,,,47.603832,-122.330062,Washington,King,Seattle,53033
,Operations Coordinator at FabFitFun,Operations at Cali Raw Nutrition,"University of California, Riverside","Economics, Admin studies","University of California, Riverside",FabFitFun,Cali Raw Nutrition,,,,,,,,,,,,,nan
United States,Manager of Information Systems at David Geffen School of Medicine at UCLA,Application Support Engineer at Cayuse (Formerly NTM Consulting Services),"University of California, Riverside",Mathematics,"University of California, Riverside",UCLA,Cayuse (Formerly NTM Consulting Services),622110 Osteopathic hospitals,,62,,Health Care and Social Assistance,76373.049,,39.78373,-100.445882,,,,nan
"Rancho Cucamonga, California, United States",Director Of Operations Parts and Sales N.A. at KalPartz,Aftermarket Parts Regional Sales and Operations Manager at Utility Trailer Manufacturing Company,California State University-San Bernardino,,"University of California, Riverside",KalPartz,Utility Trailer Manufacturing Company,,336212 Truck trailer manufacturing,,31-33,,,Manufacturing,34.127927,-117.564322,California,San Bernardino,Rancho Cucamonga,06071
,"Technical Recruiting, Games at Epic Games","Senior University Recruiting Partner (Software, Tech, Data Science) at Rivian","University of California, Riverside",Human Resources/Labor Relations & Sociology,"University of California, Riverside",Epic Games,Rivian,,336111 Hearses assembling on chassis of own manufacture,,31-33,,,Manufacturing,,,,,,nan
,,Data Science Fellow - Data Science Career Track at Springboard,"University of California, Riverside",Applied Mathematics and Statistics,"University of California, Riverside",,Springboard,,"339999 Wreaths, artificial, manufacturing",,31-33,,,Manufacturing,,,,,,nan
"Chicago, Illinois, United States","Head Of Commercial & Business Development  at Preferred Medicine, Inc.",Strategic Advisor at Allcyte,2010–2012,Finance,"University of California, Riverside","Preferred Medicine, Inc.",Allcyte,,,,,,,,41.875562,-87.624421,Illinois,Cook,Chicago,17031
 Tampa Bay ,Executive Director - Applied Economic Research for Operations at Chewy,Head of Data Science & Innovation - Supply Chain at Cisco,Télécom SudParis,"Statistics, Quantitative Finance","University of California, Riverside",Chewy,Cisco,,"541512 Systems integration design services, computer",,54,,,"Professional, Scientific, and Technical Services",27.688642,-82.572319,Florida,Hillsborough,,12057
